epoch,train_loss,validate_loss,test_loss
1,0.51359,4.17368,3.54247
2,0.32569,4.39864,9.61540
3,0.30663,4.32365,6.19939
4,0.53305,5.02339,3.54247
5,0.48702,4.17368,3.54247
6,0.21184,4.19868,3.54247
7,0.42243,4.32365,6.19939
8,0.55553,4.39863,9.61540
9,0.14829,4.19868,3.54247
10,0.27868,4.19867,3.54247
11,0.24150,4.47360,3.92203
12,0.21861,4.09870,3.54247
13,0.23007,4.57354,3.54247
14,0.49108,4.19868,3.54247
15,0.13681,4.24866,3.54247
16,0.33971,4.17368,3.54247
17,0.26890,4.24867,3.16294
18,0.17022,4.24866,3.66899
19,0.37101,4.17368,3.54247
20,0.32773,4.14868,3.54247
21,0.14377,4.17368,3.54247
22,0.27981,4.19867,3.54247
23,0.13935,4.27365,3.66899
24,0.09198,4.14868,3.54247
25,0.38108,4.22367,3.54247
26,0.19793,4.44859,3.54247
27,0.22499,4.34862,3.54247
28,0.39194,4.37361,3.54247
29,0.07323,4.19867,3.54247
30,0.17229,4.27367,3.79551
31,0.43161,3.94876,3.79551
32,0.19700,4.09870,3.41597
33,0.22479,4.14868,3.54247
34,0.23092,3.59888,6.07288
35,0.12860,3.42393,6.07288
36,0.35841,3.64886,3.92206
37,0.14748,3.59886,3.79551
38,0.40166,3.99877,4.93419
39,0.22895,3.17400,3.92203
40,0.13355,3.29899,7.59110
41,0.14582,2.94907,4.30159
42,0.12630,2.72414,4.80766
43,0.39086,3.02404,3.54247
44,0.17819,3.02403,3.54247
45,0.32888,2.89909,4.17507
46,0.16778,2.92410,6.83197
47,0.13650,3.27400,7.46455
48,0.11534,2.54921,8.72974
49,0.68582,2.37427,6.45243
50,0.19859,2.32427,3.66900
51,0.15876,2.27428,4.17507
52,0.25532,1.97438,5.06070
53,0.04115,2.37425,3.54247
54,0.07191,1.94940,4.17507
55,0.14085,2.49921,4.04855
56,0.03424,1.92440,4.55463
57,0.13168,1.77445,4.80767
58,0.09244,1.77445,4.93418
59,0.25241,1.79945,5.94633
60,0.02088,1.72447,6.32591
